what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.8",1458237741281
java.vm.vendor,sysinfo,,,"Oracle Corporation",1458237741281
java.vm.version,sysinfo,,,"25.73-b02",1458237741281
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1458237741285
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1458237742143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237747530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237845448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237846363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237852410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237853498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237858395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237859910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237870265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237871608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237927444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237932332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237938249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237948024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237967891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1458237967915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237969687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237971624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458237972922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238014287
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1458238017427
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1458238017427
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1458238017711
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1458238017715
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1458238017732
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1458238017746
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1458238017761
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1458238017761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238017932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1458238023812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238034936
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1458238034936
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.update",1458238039922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238040208
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1458238044788
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1458238044804
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1458238044812
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1458238044826
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1458238044831
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1458238044847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238048609
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1458238053656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238054817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238066286
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1458238066298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238127982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238277716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238285163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238347752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238353168
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1458238357314
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1458238357361
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1458238357423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238451695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1458238451695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238456236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238488965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458238495148
